Stiffness (N/m),Time Period (s)
10.0,6.327387992052093
35.78947368421053,3.256412445249422
61.57894736842106,2.5335187807716673
87.36842105263159,2.068981832205122
113.15789473684212,1.8179849655368838
138.94736842105266,1.699648818918354
164.7368421052632,1.6131423924736108
190.5263157894737,1.2435505427643214
216.31578947368425,1.268853586364374
242.10526315789474,1.2385545361379662
267.8947368421053,1.1566394543933425
293.6842105263158,1.300718535283255
319.4736842105264,1.207111872509789
345.2631578947369,1.0861899341043708
371.0526315789474,1.08337393967444
396.8421052631578,0.9616327640492043
422.6315789473685,0.8931053655508108
448.4210526315789,0.884607052371907
474.2105263157895,0.9205176745171916
500.0,0.830908515640554
