Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA MDX,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LHNXV03.0ABC,small SUV,3,26,27,27,6,No,333
ACURA MDX,3,6,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LHNXV03.0ABC,small SUV,3,26,27,27,6,No,333
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LHNXV03.5PBM,small SUV,3,20,27,23,5,No,387
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LHNXV03.5PBM,small SUV,3,20,27,23,5,No,387
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LHNXV03.5PBM,small SUV,3,19,26,22,4,No,404
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LHNXV03.5PBM,small SUV,3,19,26,22,4,No,404
ACURA MDX A-spec,3.5,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LHNXV03.5PBM,small SUV,3,19,25,21,4,No,415
ACURA MDX A-spec,3.5,6,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LHNXV03.5PBM,small SUV,3,19,25,21,4,No,415
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LHNXV03.5EBN,small car,3,21,22,21,4,No,420
