Input Force (N),Max_Disp_x2 (m),Max_Disp_x1 (m)
0.05,-0.08857492148240187,0.07622745666526087
0.053061224489795916,0.13600628321354016,0.08686543234248605
0.05612244897959184,0.1023886997969991,0.11908411675330965
0.059183673469387764,0.10336158834917564,0.007921891585052465
0.06224489795918368,0.06965057221801285,-0.021716188175040924
0.0653061224489796,0.05380372072000717,0.08627203696968741
0.06836734693877551,0.1183634419237562,0.13070006903223458
0.07142857142857142,0.10698698297903513,0.07822467874179062
0.07448979591836735,0.07502507995224812,-0.046940833199260734
0.07755102040816328,0.1372799083902397,0.09880868166643822
0.08061224489795919,0.1252253698665932,0.09214678091709276
0.0836734693877551,0.04917961922132578,0.06511710115408913
0.08673469387755102,0.018412827751753444,0.07515524806542401
0.08979591836734695,0.006819543690340116,-0.0005127169731892062
0.09285714285714286,0.12358649387817965,0.1335107243403283
0.0959183673469388,0.15663681423827058,0.1079666851459057
0.0989795918367347,0.15430563242128031,0.14657874717402186
0.1020408163265306,0.15889294627318162,0.1252651193555979
0.10510204081632654,0.16349663761006514,0.10793753388187052
0.10816326530612247,0.12821153872895952,0.12251575142673865
0.11122448979591837,0.126088515555958,0.052996751675428055
0.1142857142857143,0.10693342847198628,0.12070459107530608
0.1173469387755102,0.05059792380581922,0.04428348395451717
0.12040816326530615,0.04407482672173686,0.13627818132297548
0.12346938775510205,0.1405068716781092,0.08926500077937967
0.12653061224489798,0.15884230723396628,0.13594773785632694
0.12959183673469388,0.16601171540986787,0.1795582925234349
0.1326530612244898,0.08943762447789921,0.12049190841170608
0.13571428571428573,0.1226787495296256,0.1087616212579156
0.13877551020408166,0.0742059831950177,0.08775453744595615
0.14183673469387756,0.15935399594041713,0.21159468917218704
0.14489795918367349,0.10900700421804556,0.09542251065765484
0.1479591836734694,0.04620008608723744,0.1294130578343294
0.1510204081632653,0.11905699730233715,0.11078884373883216
0.15408163265306124,0.03359924784828891,0.2379555255686024
0.15714285714285714,0.09525706565743483,0.16195047433090412
0.1602040816326531,0.2051840401771176,0.13889359686502178
0.163265306122449,0.06615173483314209,0.1156729397281962
0.1663265306122449,0.13226751152777208,0.1235746701065342
0.16938775510204085,0.12496826736077656,0.16103381985490214
0.17244897959183675,0.1609110734560426,0.18268166973239067
0.17551020408163265,0.2270706686565961,0.2323616006819197
0.1785714285714286,0.1860268296334328,0.17368124499282164
0.1816326530612245,0.2504054064621842,0.1509762379924433
0.1846938775510204,0.2052943222698712,0.2111466150992301
0.1877551020408164,0.2179502245982341,0.22501275026341955
0.19081632653061226,0.15917599634627755,0.21781937318512315
0.19387755102040816,0.2800702365580071,0.2847572764653801
0.1969387755102041,0.24322150944692605,0.16293160902990245
0.2,0.1657454095052954,0.2372658557914481
